iter	RMSE
440	5.639564311
441	5.637769818
442	5.635218613
443	5.633267402
444	5.631554951
445	5.629595779
446	5.627638317
447	5.62631726
448	5.62449
449	5.621975964
450	5.620189083
451	5.61801045
452	5.615239758
453	5.61330285
454	5.611793065
455	5.610014156
456	5.608392958
457	5.60661263
458	5.604843263
459	5.603422094
460	5.601768425
461	5.59906316
462	5.597601641
463	5.596332836
464	5.594602084
465	5.592922679
466	5.591216716
467	5.589065988
468	5.587290923
469	5.584697717
470	5.581968513
471	5.58041936
472	5.578973903
473	5.577753895
474	5.575502685
475	5.573260713
476	5.571792291
477	5.570466742
478	5.568118728
479	5.566309617
480	5.564038364
481	5.562062094
482	5.560746774
483	5.559653539
484	5.557414145
485	5.555937227
486	5.554845528
487	5.552865074
488	5.551323165
489	5.550012256
490	5.549047669
491	5.547072855
492	5.546027789
493	5.544545508
494	5.543195493
495	5.541081798
496	5.540150872
497	5.538193943
498	5.536731613
499	5.535245808
500	5.533497658
501	5.531723851
502	5.530358269
503	5.528337408
504	5.527236061
505	5.52579847
506	5.524157375
507	5.522565611
508	5.520880806
509	5.52004041
510	5.518021179
511	5.51659223
512	5.515703246
513	5.513666202
514	5.512568037
515	5.510836616
516	5.509148692
517	5.508175773
518	5.506884792
519	5.505651973
520	5.504553089
521	5.503309819
522	5.50214507
523	5.501040283
524	5.499467255
525	5.497586059
526	5.497076513
527	5.496079934
528	5.494956363
529	5.493268231
530	5.491766171
531	5.48993694
532	5.488774555
533	5.48781371
534	5.486668699
535	5.485239084
536	5.484129148
537	5.482775245
538	5.481014925
539	5.479930714
540	5.478186797
541	5.476977297
542	5.475856996
543	5.474400175
544	5.473262725
545	5.471760496
546	5.470473508
547	5.46892056
548	5.467405004
549	5.466182946
550	5.464415923
551	5.463221861
552	5.462287352
553	5.460518765
554	5.459597648
555	5.458554799
556	5.457325836
557	5.455681577
558	5.453977226
559	5.452558023
560	5.451741434
561	5.449799467
562	5.448342017
563	5.44745483
564	5.446146257
565	5.444968908
566	5.44379028
567	5.443148004
568	5.442268947
569	5.440356679
570	5.43846266
571	5.437215782
572	5.436046787
573	5.434108756
574	5.433027036
575	5.431516845
576	5.430749664
577	5.430202717
578	5.428756372
579	5.427770167
580	5.42675626
581	5.425922823
582	5.424708314
583	5.424007784
584	5.423154588
585	5.422619687
586	5.421404265
587	5.420702639
588	5.419166761
589	5.418384833
590	5.41739961
591	5.41660718
592	5.415046733
593	5.414353247
594	5.413184262
595	5.412651405
596	5.411902528
597	5.410967147
598	5.410419384
599	5.409471387
600	5.408518046
601	5.407657908
602	5.406974695
603	5.405698187
604	5.405087051
605	5.404208278
606	5.403409332
607	5.401894065
608	5.400519592
609	5.399155049
610	5.397956874
611	5.397238384
612	5.396635457
613	5.395553607
614	5.394604137
615	5.39399244
616	5.393371687
617	5.392721305
618	5.391915811
619	5.391220575
620	5.389891352
621	5.388359779
622	5.387647813
623	5.386497303
624	5.385543985
625	5.384828105
626	5.38367694
627	5.382229084
628	5.380771127
629	5.379565032
630	5.378527216
631	5.377932568
632	5.376509841
633	5.375983709
634	5.37493238
635	5.373722666
636	5.372424176
637	5.37154647
638	5.370517956
639	5.370058882
640	5.369343233
641	5.368349797
642	5.367207187
643	5.366245956
644	5.3657143
645	5.364341825
646	5.363841222
647	5.362939844
648	5.362277669
649	5.361674091
650	5.360921011
651	5.360352184
652	5.359650487
653	5.358710223
654	5.357399804
655	5.3563372
656	5.355593565
657	5.354881703
658	5.354084987
659	5.35339983
660	5.352849938
661	5.352011077
662	5.351484019
663	5.351003957
664	5.349821344
665	5.349112786
666	5.348581954
667	5.348027624
668	5.347104049
669	5.346346104
670	5.345267246
671	5.344384212
672	5.343776412
673	5.342989121
674	5.342620257
675	5.341789494
676	5.340749407
677	5.340196105
678	5.339177652
679	5.338571801
680	5.338012766
681	5.33739232
682	5.336672459
683	5.336214687
684	5.335699302
685	5.334994663
686	5.334370444
687	5.333676563
688	5.333056783
689	5.332247959
690	5.331044356
691	5.330550209
692	5.329722358
693	5.329291605
694	5.328659125
695	5.327708469
696	5.32712917
697	5.326652591
698	5.325518807
699	5.324736868
700	5.324205244
701	5.323263479
702	5.322572271
703	5.322081108
704	5.321121505
705	5.320665538
706	5.320192371
707	5.319663041
708	5.318799753
709	5.317510423
710	5.316808653
711	5.315947862
712	5.315480558
713	5.314419367
714	5.31373406
715	5.312984517
716	5.312193808
717	5.311735031
718	5.31124333
719	5.310600414
720	5.309961078
721	5.309602168
722	5.30905763
723	5.308336922
724	5.307728594
725	5.307213183
726	5.30666362
727	5.305930326
728	5.305499495
729	5.304972391
730	5.304597322
731	5.303830282
732	5.303050522
733	5.302291965
734	5.301868488
735	5.301083182
736	5.300485694
737	5.300088034
738	5.299238128
739	5.298777941
740	5.298422883
741	5.297853006
742	5.297200786
743	5.296802723
744	5.296184232
745	5.295273314
746	5.294677396
747	5.293831224
748	5.293451741
749	5.292389412
750	5.291809624
751	5.291424752
752	5.29064634
753	5.289375478
754	5.288913577
755	5.288480095
756	5.288091421
757	5.287604132
758	5.287081115
759	5.286383521
760	5.285847048
761	5.285326283
762	5.284656128
763	5.284198653
764	5.283911515
765	5.283244561
766	5.281947795
767	5.281510902
768	5.281266749
769	5.279845247
770	5.27901895
771	5.278391391
772	5.277803728
773	5.277161634
774	5.276895173
775	5.276464323
776	5.275587848
777	5.275003654
778	5.274444748
779	5.273520214
780	5.272897741
781	5.272342815
782	5.271830892
783	5.271496425
784	5.271080643
785	5.27050826
786	5.269672005
787	5.268737781
788	5.268234077
789	5.267164394
790	5.266011189
791	5.265494289
792	5.265078218
793	5.264670044
794	5.264023109
795	5.263543262
796	5.262955833
797	5.262516968
798	5.262076911
799	5.261747192
800	5.261195849
801	5.26081598
802	5.260387844
803	5.260087011
804	5.259843971
805	5.258998528
806	5.258431947
807	5.258032718
808	5.257773819
809	5.257514626
810	5.257067745
811	5.256603262
812	5.25573763
813	5.255606583
814	5.255035351
815	5.254703506
816	5.254292631
817	5.253456843
818	5.253010367
819	5.252556445
820	5.252142834
821	5.251169492
822	5.250796175
823	5.249863196
824	5.249602796
825	5.249100915
826	5.248690538
827	5.248002626
828	5.24755262
829	5.246861913
830	5.246345028
831	5.246032412
832	5.245670795
833	5.245164711
834	5.244537888
835	5.244125477
836	5.243147704
837	5.242491952
838	5.241948617
839	5.24097965
840	5.240710834
841	5.240352514
842	5.239384605
843	5.238748759
844	5.237808548
845	5.237215778
846	5.236665006
847	5.236322853
848	5.235832354
849	5.235516252
850	5.234436556
851	5.233937089
852	5.233453703
853	5.232845639
854	5.23244378
855	5.231726528
856	5.231335378
857	5.230681314
858	5.23024617
859	5.229873988
860	5.229181835
861	5.22860562
862	5.228329116
863	5.227939326
864	5.227572466
865	5.226641563
866	5.225803398
867	5.224925859
868	5.224604289
869	5.224144577
870	5.223772525
871	5.223477046
872	5.223304907
873	5.222955682
874	5.222394736
875	5.221936873
876	5.22161957
877	5.220749869
878	5.22040265
879	5.21948319
880	5.219185717
881	5.218415547
882	5.218013739
883	5.21762948
884	5.216912247
885	5.216365672
886	5.216054481
887	5.215737705
888	5.215372236
889	5.215070946
890	5.214793696
891	5.214432149
892	5.214113469
893	5.213657929
894	5.213240029
895	5.212827197
896	5.212123428
897	5.211671721
898	5.211297738
899	5.210987976
900	5.210164711
901	5.209867514
902	5.209470189
903	5.209082517
904	5.208780142
905	5.208457328
906	5.208095818
907	5.207722026
908	5.207100939
909	5.206685798
910	5.206028263
911	5.205526951
912	5.205187271
913	5.204859623
914	5.20418542
915	5.204144174
916	5.203859986
917	5.203416849
918	5.203106008
919	5.202856547
920	5.202595313
921	5.202309202
922	5.202060176
923	5.201752695
924	5.201282708
925	5.201067262
926	5.200842865
927	5.200590935
928	5.200314391
929	5.199885911
930	5.199088717
931	5.198677275
932	5.198403906
933	5.197271164
934	5.197221331
935	5.196556558
936	5.196182347
937	5.195560833
938	5.195280555
939	5.194302761
940	5.194058625
941	5.193789757
942	5.193380547
943	5.193147312
944	5.192887272
945	5.192551762
946	5.192053185
947	5.191843398
948	5.191465588
949	5.191201402
950	5.190728662
951	5.18992349
952	5.189563423
953	5.188567745
954	5.188176129
955	5.187892351
956	5.187135902
957	5.186891105
958	5.186654968
959	5.186304693
960	5.186029135
961	5.185432463
962	5.185169555
963	5.184927262
964	5.184674173
965	5.184408519
966	5.184185455
967	5.183795017
968	5.183447754
969	5.183206599
970	5.18306819
971	5.182813007
972	5.18249109
973	5.182266899
974	5.181964801
975	5.181729242
976	5.181336449
977	5.180949032
978	5.180693226
979	5.18042519
980	5.180235648
981	5.1799979
982	5.179636987
983	5.179410425
984	5.179102487
985	5.17879014
986	5.178282363
987	5.177919409
988	5.177661327
989	5.177412408
990	5.177108347
991	5.176754825
992	5.17655398
993	5.176205899
994	5.176015468
995	5.175793108
996	5.175231046
997	5.174925829
998	5.174554103
999	5.174285092
